sector,indicator,unit,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,source
1,"Gross domestic product (GDP), Current prices, Domestic currency",Billions,7.254,10.184,22.028,35.266,63.028,127.562,774.16,3307.765,14160.43,35670.311,53271.203,97396.596,140344.956,178088.724,226688.618,290629.299,345410.202,398214.147,458390.101,507815.315,560767.817,611111.041,680269.011,778902.226,989542.495,1160527.335,1347892.245,1583050.889,2051931.233,2297116.94,2739843.17,3539881.31,4073762.29,4473655.6,4937031.68,5191323.73,5639401,6293904.55,7009042.13,7707200.29,8044385.73,8487475.6,9621371.82,10320311.14,11511867.2,12662074.25,13846511.23,15081351.14,16373817.22,17701211.67,19139828.59,IMF
3,"Expenditure, General government, Domestic currency",Billions,,,,,,,,,,,,,,,,,,,73419,84817,99751,117285,134334,172885.6,192373,239364,276774,352967.079,438703,573700.09,649907,751298,955967.924,1094123,1123418,1254929.5,1253677,1355034,1435435,1526893,1709524,1708088,1750790,1938298,2200579.431,2747320.972,2780939.463,3004918.511,3281913.739,3544568.398,3829916.988,IMF
2,"Exports of goods and services, Volume, Free on board (FOB), Percent change",Units,-15.614,0.225,45.337,21.728,10.149,25.437,19.391,3.084,-27.444,29.674,36.49,71.417,35.017,19.604,38.545,22.229,6.796,15.616,-2.77,7.933,-5.97,4.006,10.187,19.167,29.593,5.95,14.301,13.309,2.128,5.386,6.577,8.476,14.429,18.093,11.509,14.835,11.941,16.719,12.061,6.225,2.792,13.634,6.356,-3.087,19.666,5.12,0.716,2.287,4.507,5.774,5.871,IMF
1,"Gross domestic product (GDP), Current prices, US dollar",Billions,35.357,17.617,23.369,35.204,61.171,19.045,43.009,53.385,29.501,7.991,8.217,9.704,12.528,16.736,20.712,26.407,31.352,34.146,34.58,36.444,39.585,41.297,44.563,50.233,62.877,73.197,84.301,98.426,124.756,129.022,143.212,171.312,195.169,212.728,232.888,236.795,252.146,277.071,304.47,331.818,346.31,370.076,411.068,433.008,459.472,484.726,511.059,545.213,583.731,624.103,666.786,IMF
3,"Gross national savings, Percent of GDP",Units,9.664,7.065,8.628,9.317,9.66,6.311,7.821,8.662,8.656,5.487,8.158,10.438,13.831,10.768,11.026,11.35,15.69,17.813,18.908,24.99,25.467,26.779,24.757,24.071,23.814,25.821,27.006,34.911,28.925,32.042,34.113,32.507,35.307,33.853,33.989,31.248,31.972,31.709,33.914,35.74,36.265,30.693,32.682,38.018,37.203,34.943,33.224,32.514,31.986,31.721,31.48,IMF
3,"Revenue, General government, Percent of GDP",Units,,,,,,,,,,,,,,,,,,,15.918,15.456,16.183,17,17.892,19.638,19.291,19.672,20.734,20.558,20.933,20.15,21.47,20.323,18.004,18.493,17.738,19.19,19.067,19.565,19.459,19.415,18.39,18.693,18.868,17.063,17.58,18.438,17.747,17.773,17.981,17.986,17.977,IMF
1,"All Items, Consumer price index (CPI), Period average, percent change",Units,25.156,69.6,95.401,49.487,64.897,91.602,453.538,360.357,374.354,95.77,36.031,81.817,37.705,8.379,10.378,16.926,5.593,3.095,8.11,4.093,-1.784,-0.439,3.765,3.11,7.812,8.3,7.664,8.377,23.311,6.693,9.14,18.685,9.121,6.592,4.087,0.647,2.675,3.521,3.54,2.795,3.22,1.837,3.157,3.253,3.624,3.402,3.161,3.3,3.3,3.3,3.3,IMF
4,"M2 (Broad money), Current prices, Domestic currency, Billions",Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3702867,4400692,5179216,6019609,7125801,8194708,9211848,10573725,12110606,13402097,14226792,15998956,17914566,19980717,,,,,,"SBV, NSO"
4,"Net domestic assets (NDA), Current prices, Domestic currency",Billions,,,,,,,,,,,,,18043.297,30238.145,,42180.026,50810.25,64695.709,78771.978,115604.6,142600.19,178818.7,238344.1,322589.9,439496.115,568572.552,742841.741,1120844.026,1450615.374,2158608.372,3050832.512,3416638.487,3679551.446,4287695.672,4831840.076,5752365.346,6758955.14,7588389.161,8511035.877,9382320.468,10552412.61,12051834.93,13504773.13,,,,,,,,,NDA = Domestic Claims − Other Items Net
4,"Credit to private sector, Current prices, Domestic currency, Billions",Billions,,,,,,,,,,,,,,,,,,,,,,191204,239921,317771,442978,597715,734391,1100850,1275048,1753600,2475535,2839599.45,3090904,3477985,3970548,4655890,5505406,6509858,7211175,8195393,9192566,10444078,11924433.61,13568977.92,15616213.73,18406831.12,,,,,,"SBV, NSO"
